Device:,Stock Parts BOM,,,,,,,,,,,,
Version:,V1.0.0,,,,,,,,,,,,
Last Updated:,2024-09-03,,,,,,,,,,,,
,,,,,,,,Total filament (g),,Unit Cost,Total Estimated Cost,Build Cost,
,,,,,,,,,, $-   , $-   ,,
ID,Commercial Parts,,,,,,,,, $-   , $-   ,,
,Part,Description,,Manufacturer,Supplier,QTY / Device,QTY / PKG,PKGs,$/ PKG,$ / Device,Total Estimated Cost,,Link
,,"¼-20, 1/2"" Length Hex Bolt",,Hard-To-Find Fastener,Amazon,,100,, $14.63 , $-   ,,,https://www.amazon.ca/gp/product/B00OHUSUJW/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
,,Limit Switch,,Omron Electronics,Digikey,,1,, $1.57 , $-   ,,,https://www.digikey.ca/en/products/detail/omron-electronics-inc-emc-div/SS-3GP/664724
,,#4 3/8 length Screw,,Small Parts,Amazon,,100,, $7.30 , $-   ,,,https://www.amazon.ca/gp/product/B00GI86MW8
,,"¼-20, 5/16"" length T-Nut",,Bolt Dropper,Amazon,,100,, $19.99 , $-   ,,,https://www.amazon.ca/Bolt-Dropper-Pronged-Climbing-Cabinetry/dp/B01MSVU3WF/ref=sr_1_5?crid=XV46QPGLABMZ&keywords=1%2F4-20%2B5%2F16%2Bt-nut&qid=1707328400&sprefix=1%2F4-20%2B5%2F16%2Bt-nu%2Caps%2C181&sr=8-5&th=1
,,Adafruit Mini Analog Joystick,,Adafruit Industries LLC.,Digikey,,1,, $30.63 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/3102/6152821
,,"TRRS Audio Cable, M / Wire (0.5 cable)",,Tensility International Corp.,Digikey,,1,, $8.41 , $-   ,,,https://www.digikey.ca/en/products/detail/tensility-international-corp/10-00341/2350244
,,M3 Hex Nut,,Sowaka,Amazon,,100,, $8.99 , $-   ,,,https://www.amazon.ca/gp/product/B09J4C4MLH/ref=ppx_yo_dt_b_asin_title_o00_s01?ie=UTF8&psc=1
,,"4"" Cable Tie / Zip Tie",,3M,Digikey,,1,, $0.15 , $-   ,,,https://www.digikey.ca/en/products/detail/3m/CT4NT18-M/2721151
,,Seeduino Nano,,"Seeed Technology Co., Ltd.",Digikey,,1,, $10.94 , $-   ,,,https://www.digikey.ca/en/products/detail/seeed-technology-co-ltd/102010268/10290292
,,Audio Amplifier (Pam8302),,Adafruit Industries LLC.,Digikey,,1,, $6.06 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/2130/5761279
